t,freq_hz,shoulder_pan_cmd,shoulder_pan_pos,shoulder_lift_cmd,shoulder_lift_pos,elbow_flex_cmd,elbow_flex_pos,wrist_flex_cmd,wrist_flex_pos,wrist_roll_cmd,wrist_roll_pos
0.0,0.1,0.0,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.02,0.1019,0.00018773820511593507,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.04,0.1038,0.0015144187569875855,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.06,0.1057,0.005149603947560855,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.08,0.1076,0.012288359069694962,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.1,0.10950000000000001,0.0241421781736963,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.12,0.1114,0.04192953959927005,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.14,0.11330000000000001,0.0668661493885626,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.16,0.11520000000000001,0.10015493473813697,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.18,0.11710000000000001,0.14297585340761665,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.2,0.11900000000000001,0.19647558843092594,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.22,0.12090000000000001,0.26175720053364415,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.24,0.1228,0.3398698133088367,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.26,0.1247,0.43179840840688916,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.28,0.12660000000000002,0.5384538097169128,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.3,0.1285,0.6606629367246666,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.32,0.13040000000000002,0.7991594078933774,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.34,0.1323,0.9545745750007076,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.36,0.1342,1.1274290688518338,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.38,0.1361,1.3181249356529463,0.17582417582417584,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.4,0.138,1.5269384415530898,0.26373626373626374,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.42,0.1399,1.7540136204308434,0.43956043956043955,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3956043956043956
0.44,0.1418,1.9993566369061795,0.6153846153846154,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.46,0.1437,2.262831032791905,0.8791208791208791,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.48,0.1456,2.5441539207637387,1.1428571428571428,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.5,0.14750000000000002,2.842893183928759,1.4065934065934067,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.52,0.1494,3.158465734220054,1.6703296703296704,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.54,0.15130000000000002,3.490136876158147,1.934065934065934,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.56,0.1532,3.837020815520219,2.197802197802198,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.58,0.15510000000000002,4.198082344875936,2.4615384615384617,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.6,0.157,4.572139729819439,2.8131868131868134,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.62,0.1589,4.957868811092667,3.076923076923077,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.64,0.1608,5.353808328704466,3.4285714285714284,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.66,0.1627,5.758366464656588,3.868131868131868,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.68,0.16460000000000002,6.169828591053365,4.21978021978022,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.7,0.16649999999999998,6.586366200262064,4.571428571428571,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.72,0.1684,7.006046983478548,4.923076923076923,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.74,0.1703,7.4268460136145595,5.274725274725275,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.76,0.17220000000000002,7.846657977941664,5.714285714285714,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.78,0.1741,8.26331039548836,6.153846153846154,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.8,0.17600000000000002,8.674577743882262,6.593406593406593,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.82,0.1779,9.078196410251707,6.945054945054945,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
0.84,0.17980000000000002,9.471880371047133,7.384615384615385,-20.0,-18.197802197802197,25.0,26.98901098901099,90.0,89.45054945054945,0.0,-0.3076923076923077
